Name; Browser; Renderer; GPU Process; cpuTime (%); cpuSampling (%); Sum dumpsys
50ms; 0.5; 15; 12; 38.4805144901685; 19.728079911209765; 0.51215
50ms; 0.9; 16; 14; 45.44042375824696; 26.170072511535924; 0.91416
50ms; 0.6; 15; 13; 43.93270123991521; 23.63739056763627; 0.61315
50ms; 0.6; 16; 13; 41.003512767680334; 22.466960352422905; 0.61316
50ms; 0.8; 16; 14; 47.45372152353601; 27.78590231061714; 0.81416
50ms; 0.5; 15; 12; 47.151255242991425; 25.454545454545464; 0.51215
50ms; 0.7; 16; 13; 47.96203333185707; 27.718078381795202; 0.71316
50ms; 0.5; 17; 13; 50.46846118169482; 26.23005319148937; 0.51317
50ms; 0.7; 18; 14; 49.98106870351625; 28.336686787391013; 0.71418
50ms; 0.8; 17; 14; 45.4772543483009; 27.22099272842237; 0.81417
50ms; 0.7; 17; 13; 65.90624253676745; 40.92465753424657; 0.71317
50ms; 0.8; 18; 14; 52.15972551148971; 26.68641000329055; 0.81418
50ms; 0.8; 20; 14; 58.89613282315413; 30.968622100954985; 0.81420
50ms; 0.8; 18; 14; 56.449331244905295; 34.71186440677966; 0.81418
50ms; 0.6; 18; 14; 53.40738969862937; 27.611484422724498; 0.61418
50ms; 0.7; 18; 14; 51.03565014931344; 27.96528447444551; 0.71418
50ms; 0.7; 18; 14; 52.567227185962636; 31.177976952624842; 0.71418
50ms; 0.8; 19; 14; 54.292798188469035; 32.220367278797994; 0.81419
50ms; 0.7; 17; 13; 44.89432073915582; 24.247735904177624; 0.71317
50ms; 0.6; 18; 15; 34.59176056868398; 19.68691960732289; 0.61518
50ms; 0.7; 17; 13; 42.993854387434176; 20.96106048053024; 0.71317
50ms; 0.6; 18; 13; 43.03422533882663; 23.86628660274683; 0.61318
50ms; 0.7; 17; 13; 49.177558770100546; 22.870514820592827; 0.71317
50ms; 0.7; 16; 13; 51.82141746376241; 28.231748158071003; 0.71316
50ms; 0.6; 17; 13; 58.808220396310176; 34.30894308943089; 0.61317
50ms; 0.6; 17; 14; 36.85145351439703; 23.319727891156468; 0.61417
50ms; 0.6; 19; 14; 42.312178570874586; 25.18210197710718; 0.61419
50ms; 0.6; 17; 13; 33.505323625934615; 19.43517329910141; 0.61317
50ms; 0.6; 17; 13; 59.30500298784548; 31.574074074074073; 0.61317
50ms; 0.6; 16; 13; 42.83313678401757; 24.979067820262348; 0.61316
50ms; 0.6; 15; 13; 57.660558947593344; 31.57894736842105; 0.61315
50ms; 0.6; 17; 13; 40.43086314798209; 24.38709677419354; 0.61317
50ms; 0.8; 21; 12; 32.61626029815864; 18.241437940247746; 0.81221
50ms; 0.5; 14; 12; 38.83010900967311; 24.757033248081843; 0.51214
50ms; 0.6; 15; 13; 37.53184028044084; 19.91850431447747; 0.61315
50ms; 0.6; 13; 12; 38.10487774123986; 24.06954631893507; 0.61213
50ms; 0.5; 14; 11; 37.85844563218521; 19.819819819819827; 0.51114
50ms; 0.5; 15; 13; 45.350629610839015; 24.716692189892804; 0.51315
50ms; 0.6; 14; 12; 51.71468374366371; 30.255164034021874; 0.61214
50ms; 0.7; 14; 12; 41.504841271257284; 21.74383969672354; 0.71214
50ms; 0.5; 13; 12; 59.5998907535664; 39.97017151379567; 0.51213
50ms; 0.7; 13; 11; 57.13773227361338; 41.24513618677043; 0.71113
50ms; 0.6; 13; 11; 61.28298396775096; 43.02013422818792; 0.61113
50ms; 0.7; 13; 11; 68.63458033450443; 35.65855897200551; 0.71113
50ms; 0.6; 13; 12; 44.33465081657182; 27.87663107947806; 0.61213
50ms; 0.6; 13; 12; 46.743185383794035; 32.33609166136219; 0.61213
50ms; 0.5; 13; 11; 47.01355554532496; 31.702062172976298; 0.51113
50ms; 0.6; 13; 12; 47.854155146317716; 32.4375; 0.61213
50ms; 0.5; 12; 11; 59.40365768233462; 39.51106706309878; 0.51112
50ms; 0.5; 12; 10; 43.619211405106334; 31.08993448481238; 0.51012
50ms; 0.7; 13; 12; 44.021914386369296; 28.55924978687127; 0.71213
50ms; 0.6; 12; 11; 49.04432424105032; 35.27706185567012; 0.61112
50ms; 0.5; 13; 12; 51.93164678079436; 33.6649051911719; 0.51213
50ms; 0.6; 12; 11; 47.29268385967585; 30.876258140911784; 0.61112
50ms; 0.7; 13; 12; 52.37940795873038; 36.413043478260875; 0.71213
50ms; 0.5; 12; 11; 50.29225245674731; 32.94887780548629; 0.51112
50ms; 0.5; 11; 11; 51.38452007735887; 26.50874224478286; 0.51111
50ms; 0.5; 13; 11; 45.12260546556994; 29.474905715114595; 0.51113
50ms; 0.5; 13; 11; 39.01920283167131; 23.952434881087207; 0.51113
50ms; 0.5; 11; 11; 44.44806025275054; 31.348724179829894; 0.51111
50ms; 0.6; 14; 12; 55.490229732335536; 38.879598662207364; 0.61214
50ms; 0.6; 14; 12; 42.91090525396825; 25.263157894736842; 0.61214
50ms; 0.7; 15; 13; 48.32111443897842; 33.22239031770044; 0.71315
50ms; 0.5; 13; 12; 42.73376951926754; 24.01946750644145; 0.51213
50ms; 0.7; 12; 12; 49.15554491154975; 28.495464497966854; 0.71212
50ms; 0.6; 15; 13; 44.944438720073315; 26.120914087358983; 0.61315
50ms; 0.5; 15; 13; 42.518679063014474; 26.238479262672797; 0.51315
50ms; 0.6; 16; 13; 44.20591225833356; 30.821714624740437; 0.61316
50ms; 0.6; 15; 13; 39.29711671768678; 23.11008910606496; 0.61315
50ms; 0.5; 16; 13; 41.581744386659096; 25.941192635339387; 0.51316
50ms; 0.6; 16; 13; 45.02986841814826; 30.257639304973043; 0.61316
50ms; 0.5; 16; 13; 47.04056406325455; 33.055885850178356; 0.51316
50ms; 0.7; 17; 13; 46.64662125726141; 29.16912197996464; 0.71317
50ms; 0.8; 18; 13; 49.68378312968208; 26.066350710900476; 0.81318
50ms; 0.7; 17; 14; 50.950783271093556; 36.8653421633554; 0.71417
100ms; 0.3; 7.8; 7.3; 11.424105826898158; 0.9010773751224251; 0.37.37.8
100ms; 0.5; 12; 11; 14.14816146606723; 0.6958250497017906; 0.51112
100ms; 0.4; 8.1; 8.1; 13.739811496871338; 0.6429652042360117; 0.48.18.1
100ms; 0.5; 9.5; 9.5; 13.941751787165302; 0.49898355202366007; 0.59.59.5
100ms; 0.7; 13; 10; 13.448738570292598; 0.277213084457579; 0.71013
100ms; 0.3; 7.3; 6.7; 15.181904054071572; 0.6590772917914847; 0.36.77.3
100ms; 0.4; 7.9; 7.4; 12.864346012059674; 0.4177261169633072; 0.47.47.9
100ms; 0.3; 7; 6.6; 11.842948521195519; 1.4237542150618268; 0.36.67
100ms; 0.5; 9.6; 8; 20.68702840100431; 3.0661646046261466; 0.589.6
100ms; 0.4; 9.3; 8.7; 12.536403874362016; 0.7770582793709647; 0.48.79.3
100ms; 0.3; 8.7; 8.5; 13.46890985915763; 0.506427736657575; 0.38.58.7
100ms; 0.3; 6.2; 6; 13.449435712386112; 0.3464203233256376; 0.366.2
100ms; 0.6; 9; 8.3; 14.29718772828728; 0.4519774011299401; 0.68.39
100ms; 0.4; 8.3; 8; 11.318293205505032; 0.29336266960029056; 0.488.3
100ms; 0.3; 8; 7.8; 13.15339654570497; 0.5288932419196775; 0.37.88
100ms; 0.4; 7.8; 8; 13.191756731289637; 0.2692307692307741; 0.487.8
100ms; 0.4; 6.6; 5.9; 13.576004587610587; 0.4807692307692252; 0.45.96.6
100ms; 0.3; 8; 7.7; 12.638000805392496; 0.11320754716981031; 0.37.78
100ms; 0.3; 7.5; 7.4; 13.27685371994312; 0.7785130400934345; 0.37.47.5
100ms; 0.3; 6.1; 5.8; 13.449392425660967; 0.18518518518518423; 0.35.86.1
100ms; 0.3; 6.3; 6.2; 12.63595187516326; 0.56922511935365; 0.36.26.3
100ms; 0.3; 6.8; 6.3; 13.682929493639872; 0.5734369219385884; 0.36.36.8
100ms; 0.2; 6.6; 6.3; 14.005710679863109; 0.322213798332067; 0.26.36.6
100ms; 0.2; 5.9; 5.5; 13.63402495652301; 0.5178472350656663; 0.25.55.9
100ms; 0.4; 7.4; 7; 13.462880912541358; 0.15094339622640046; 0.477.4
100ms; 0.3; 5.7; 5.4; 14.507481799553556; 0.23041474654378644; 0.35.45.7
100ms; 0.3; 5.6; 5.2; 12.287080764645902; 0.26070763500930105; 0.35.25.6
100ms; 0.4; 8.2; 7.7; 14.511499713508538; 0.519584332533975; 0.47.78.2
100ms; 0.4; 6.3; 5.9; 14.425083069722152; 0.5036807438977063; 0.45.96.3
100ms; 0.2; 5.9; 5.6; 14.146365960556537; 0.557692307692306; 0.25.65.9
100ms; 0.3; 7.6; 7.2; 15.293472821653264; 0.48421460391245513; 0.37.27.6
100ms; 0.4; 8.8; 7.5; 11.0127654560829; 0.12727272727272385; 0.47.58.8
100ms; 0.4; 7.3; 7.1; 12.460047626289834; 0.5944640535017599; 0.47.17.3
100ms; 0.7; 13; 10; 13.050928068612288; 0.5076142131979622; 0.71013
100ms; 0.4; 6.5; 6.7; 13.052873164519301; 0.4530011325028256; 0.46.76.5
100ms; 0.4; 6.7; 6.8; 12.397857870681413; 0.3351331223235813; 0.46.86.7
100ms; 0.4; 7.5; 7.2; 15.323727311749504; 0.5447032306536278; 0.47.27.5
100ms; 0.3; 6.1; 6; 14.113269405296045; 0.5355776587605213; 0.366.1
100ms; 0.4; 6.4; 6.1; 13.317513972181064; 0.4396024464831843; 0.46.16.4
100ms; 0.2; 6.4; 6.6; 13.617204938509559; 0.6025230653360897; 0.26.66.4
100ms; 0.3; 6.4; 6.1; 14.850014532963215; 0.5366040628593228; 0.36.16.4
100ms; 0.6; 9.1; 7.6; 12.719156556540659; 0.5192878338278978; 0.67.69.1
100ms; 0.5; 7.5; 7.3; 11.548556404223875; 0.34451495920217406; 0.57.37.5
100ms; 0.3; 7.8; 7.2; 12.05430594667319; 0.2181818181818214; 0.37.27.8
100ms; 0.4; 7.6; 7.1; 14.120264510840123; 0.3582877616443481; 0.47.17.6
100ms; 0.4; 7.9; 7.5; 14.030163143497717; 0.5840241145440973; 0.47.57.9
100ms; 0.4; 6.8; 6; 12.896141294463076; 0.40733197556009415; 0.466.8
100ms; 0.4; 6.1; 6.4; 18.40548880241359; 2.254359846873673; 0.46.46.1
100ms; 0.3; 7.4; 6.7; 12.017819001977568; 0.21818181818180896; 0.36.77.4
100ms; 0.3; 6.6; 6.6; 18.69630722646326; 1.4968814968814936; 0.36.66.6
100ms; 0.4; 7.8; 7.3; 15.969489142532481; 0.31372549019607077; 0.47.37.8
100ms; 0.3; 6.9; 6.2; 11.223498671103693; 0.25454545454546124; 0.36.26.9
100ms; 0.2; 6.6; 6.4; 14.297689412129666; 0.8228840125391921; 0.26.46.6
100ms; 0.3; 6.2; 5.7; 11.127283292592796; 0.1636363636363716; 0.35.76.2
100ms; 0.3; 7.2; 6.7; 14.336190680274813; 0.5863956215793639; 0.36.77.2
100ms; 0.3; 5.8; 5.5; 13.417285839787793; 0.481659874027417; 0.35.55.8
