###################################### Measure 1 at 20314722 ######################################
User 50%, System 50%, IOW 0%, IRQ 0%
User 3 + Nice 0 + Sys 3 + Idle 0 + IOW 0 + IRQ 0 + SIRQ 0 = 6

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 1143 u0_a72   20   0   0% S    11 870392K  76784K  fg com.google.android.ext.services
 1164 u0_a66   20   0   0% S    52 1136716K 194616K  fg com.google.android.gms
 1183 u0_a66   20   0   0% S    17 881884K  86340K  bg com.google.process.gapps
 1210 system   20   0   0% S    12 872200K  72480K  fg com.genymotion.systempatcher
 1215 system   20   0   0% S    11 871296K  74788K  fg com.genymotion.genyd
 1256 u0_a14   20   0   0% S    15 901404K 114864K  bg com.android.launcher3
 1542 u0_a1    20   0   0% S    14 880220K  94352K  bg android.process.acore
18789 u0_a64   20   0   0% S    49 967448K 143996K  bg com.android.vending
18984 u0_a45   20   0   0% S    10 1204676K  77392K  bg com.android.gallery3d
19031 u0_a16   20   0   0% S    10 868504K  71564K  bg com.android.musicfx
19060 system   20   0   0% S    10 869528K  73620K  bg com.genymotion.superuser
19500 u0_a69   20   0   0% S    13 873448K  78300K  bg com.google.android.partnersetup
19541 u0_a54   20   0   0% S    10 868308K  69376K  bg com.svox.pico
19579 u0_a78   20   0   0% S    13 902124K  96844K  fg org.chromium.webapk.a44c9cab055c42d1b
19605 u0_a77   16  -4   0% S    34 1080632K 207656K  fg com.android.chrome
19644 u0_i16   20   0   0% S    22 1076444K 170880K  fg com.android.chrome:sandboxed_process0
19671 u0_a77   20   0   0% S    18 980436K 128348K  fg com.android.chrome:privileged_process0
20764 u0_a66   20   0   0% S    16 946832K 127704K  bg com.google.android.gms.unstable
20831 root     20   0   0% S     1      0K      0K  fg kworker/0:0
21707 root     20   0   0% S     1      0K      0K  fg kworker/0:1
22476 root     20   0   0% S     1      0K      0K  fg kworker/u2:1
23874 root     20   0   0% S     1      0K      0K  fg kworker/u2:2
24112 root     20   0   0% S    10 951936K  78400K  fg com.android.commands.monkey
   73 root      0 -20   0% S     1      0K      0K  fg binder
    2 root     20   0   0% S     1      0K      0K  fg kthreadd
    3 root     20   0   0% S     1      0K      0K  fg ksoftirqd/0

###################################### Measure 3 at 20435977 ######################################
User 16%, System 66%, IOW 0%, IRQ 16%
User 1 + Nice 0 + Sys 4 + Idle 0 + IOW 0 + IRQ 0 + SIRQ 1 = 6

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
    3 root     20   0  16% S     1      0K      0K  fg ksoftirqd/0
  568 system   12  -8  16% S    13  87344K   6080K  fg /system/bin/surfaceflinger
    5 root      0 -20   0% S     1      0K      0K  fg kworker/0:0H
    7 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    8 root     20   0   0% S     1      0K      0K  fg rcu_sched
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     RT   0   0% S     1      0K      0K unk migration/0
   11 root      0 -20   0% S     1      0K      0K  fg perf
   12 root      0 -20   0% S     1      0K      0K  fg writeback
   13 root     25   5   0% S     1      0K      0K  fg ksmd
   14 root      0 -20   0% S     1      0K      0K  fg crypto
   16 root      0 -20   0% S     1      0K      0K  fg kintegrityd
   17 root      0 -20   0% S     1      0K      0K  fg bioset
   18 root      0 -20   0% S     1      0K      0K  fg kblockd
   19 root      0 -20   0% S     1      0K      0K  fg ata_sff
   20 root     20   0   0% S     1      0K      0K  fg kswapd0
   21 root      0 -20   0% S     1      0K      0K  fg vmstat
   22 root     20   0   0% S     1      0K      0K  fg fsnotify_mark
   40 root      0 -20   0% S     1      0K      0K  fg kthrotld
   41 root      0 -20   0% S     1      0K      0K  fg acpi_thermal_pm
