User 19%, System 36%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 28 + Idle 33 + IOW 0 + IRQ 0 + SIRQ 0 = 76

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 5149 root      0 -20   0% S     1      0K      0K  fg kbase_event
 5297 u0_a7    20   0   0% S    15 2350064K  38284K  bg android.process.acore
 5442 u0_a40   20   0   0% S    16 1814088K  43716K  bg android.process.media
 5794 system   20   0   0% S    31 2793008K  76656K  bg com.sec.android.inputmethod
 6679 root     20   0   0% D     1      0K      0K  fg dci_thread
 6889 u0_a7    20   0   0% S    15 2377300K  28516K  bg com.samsung.android.contacts
 6961 root      0 -20   0% S     1      0K      0K  fg kworker/0:2H
 6990 u0_a155  20   0   0% S    45 2468160K  41328K  fg com.samsung.android.oneconnect:Core
 7092 u0_a155  20   0   0% S    10 2408860K  27836K  fg com.samsung.android.oneconnect:Receiver
 7135 system   20   0   0% S     9 1800456K  25776K  fg com.samsung.ucs.agent.boot
 7549 u0_a37   20   0   0% S    10 1797764K  26284K  bg com.android.managedprovisioning
 9695 bcmgr    20   0   0% S    13 1801636K  29672K  fg com.samsung.android.beaconmanager
 9746 root     20   0   0% S     1      0K      0K  fg kworker/3:2
10502 root     20   0   0% S     1      0K      0K  fg kworker/1:1
11073 root      0 -20   0% S     1      0K      0K  fg kworker/4:1H
11122 root      0 -20   0% S     1      0K      0K  fg kworker/u17:0
11297 root      0 -20   0% S     1      0K      0K  fg kworker/u17:1
11724 u0_a55   20   0   0% S    16 1813152K  34876K  bg com.sec.spp.push
13538 u0_a35   20   0   0% S    10 1797796K  28144K  bg com.samsung.klmsagent
14844 root      0 -20   0% S     1      0K      0K  fg kbase_event
15453 u0_a51   20   0   0% S    37 2482856K  57360K  bg com.samsung.oh
15942 root     20   0   0% S     1      0K      0K  fg kworker/u16:0
16543 root     20   0   0% S     1      0K      0K  fg kworker/u16:3
18627 root      0 -20   0% S     1      0K      0K  fg kworker/1:0H
19900 root      0 -20   0% S     1      0K      0K  fg kworker/7:1H
20195 system   20   0   0% S    10 2327608K  28856K  bg com.samsung.android.SettingsReceiver
21019 root     20   0   0% S     1      0K      0K  fg kworker/u16:4
21528 root     20   0   0% S     1      0K      0K  fg kworker/5:2
22288 u0_a140  16  -4   0% S    65 1469192K 179564K  fg com.android.chrome
22580 root      0 -20   0% S     1      0K      0K  fg kbase_event
22822 root     20   0   0% S     1      0K      0K  fg kworker/u16:5
23463 root     20   0   0% S     1      0K      0K  fg kworker/6:0
23709 root     20   0   0% S     1      0K      0K  fg kworker/u16:7
23843 system   20   0   0% S    29 3113844K  61276K  bg com.android.settings
23877 root      0 -20   0% S     1      0K      0K  fg kbase_event
23908 root      0 -20   0% S     1      0K      0K  fg kworker/2:1H
24406 root      0 -20   0% S     1      0K      0K  fg kworker/5:1H
24433 root     20   0   0% S     1      0K      0K  fg kworker/7:0
24515 root     20   0   0% S     1      0K      0K  fg kworker/6:1
24518 root     20   0   0% S     1      0K      0K  fg kworker/4:2
26909 root     20   0   0% S     1      0K      0K  fg kworker/5:0
26941 root     20   0   0% S     1      0K      0K  fg kworker/2:1
26946 root     20   0   0% S     1      0K      0K  fg kworker/0:0
