User 8%, System 15%, IOW 0%, IRQ 0%
User 8 + Nice 0 + Sys 14 + Idle 70 + IOW 0 + IRQ 0 + SIRQ 0 = 92

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 3172 radio    20   0   0% S     2  14260K   1668K  fg /system/bin/at_distributor
 3192 root      0 -20   0% S     1      0K      0K  fg kbase_event
 3224 jack      1 -19   0% S     2   7532K    812K  fg androidshmservice
 3263 shell    20   0   0% S     5  18872K    648K  fg /sbin/adbd
 3279 root     20   0   0% S     1      0K      0K  fg kworker/2:2
 3353 root      0 -20   0% S     1      0K      0K  fg BbdTick
 3354 root      0 -20   0% S     1      0K      0K  fg BbdTty
 3425 u0_a146  20   0   0% S    22 2378872K  48276K  bg com.google.android.talk
 3440 u0_a137  16  -4   0% S    66 1876576K  72076K  bg com.amazon.mShop.android
 3519 u0_a140  20   0   0% S    11 1229792K  28468K  bg com.android.chrome:webview_service
 3539 u0_a12   20   0   0% S     9 1796392K  28400K  bg com.android.defcontainer
 3597 root     20   0   0% S     1      0K      0K  fg kworker/u16:1
 3652 root     RT   0   0% S     1      0K      0K  fg irq/488-14c2000
 3711 root     20   0   0% S     1      0K      0K  fg pkgld
 3712 root     20   0   0% S     1      0K      0K  fg pkgld
 3713 root     20   0   0% S     1      0K      0K  fg pkgld
 3714 root     20   0   0% S     1      0K      0K  fg pkgld
 3715 root     20   0   0% S     1      0K      0K  fg pkgld
 3816 system   20   0   0% S     2  15772K   1872K  fg /system/bin/tlc_server
 3817 system   20   0   0% S     2  15768K   1724K  fg /system/bin/tlc_server
 3818 system   20   0   0% S     2  15772K   1728K  fg /system/bin/tlc_server
 3872 system   20   0   0% S     2  13560K   1300K  fg /system/bin/otp_server
 4010 bluetoot 20   0   0% S    46 1287740K  17280K  fg com.android.bluetooth
 4015 root      0 -20   0% S     1      0K      0K  fg dhd_eventd
 4018 media_rw 20   0   0% S     1   8736K   1060K  fg /system/bin/sdcard
 4022 u0_a84   20   0   0% S    52 3386004K 113304K  fg com.android.systemui
 4033 root     20   0   0% S     1      0K      0K  fg pkgld
 4035 root     20   0   0% S     1      0K      0K  fg pkgld
 4036 root     20   0   0% S     1      0K      0K  fg pkgld
 4145 u0_a189  20   0   0% S    86 2533684K  73532K  bg com.google.android.youtube
 4258 system   20   0   0% S    12 1805432K  29464K  fg com.sec.epdg
 4382 root      0 -20   0% S     1      0K      0K  fg kbase_event
 4402 system   20   0   0% S    13 1828540K  30808K  fg com.sec.vsimservice
 4416 system   20   0   0% S     9 1800224K  27988K  fg com.sec.sve
 4428 system   20   0   0% S    27 1876996K  49760K  fg com.sec.imsservice
 4441 radio    20   0   0% S    32 1887588K  42084K  fg com.android.phone
 4487 u0_a23   20   0   0% S    52 1973548K 122460K  fg com.google.android.gms.persistent
 4539 root     RT   0   0% S     1      0K      0K  fg irq/123-1146000
 4646 u0_a24   20   0   0% S     9 1796424K  28660K  fg com.google.android.ext.services
 4651 system   20   0   0% S     1   7904K   1156K  fg /system/bin/iod
 4668 root     20   0   0% S     5 1668228K  15280K  fg zygote
 4746 u0_a23   20   0   0% S    18 1813508K  35536K  bg com.google.process.gapps
 4763 u0_a95   20   0   0% S    16 2441336K  36492K  fg com.google.android.googlequicksearchbox:interactor
 4778 u0_a41   20   0   0% S     9 1797592K  25716K  fg com.sec.vsim.ericssonnsds.webapp
 4793 nfc      20   0   0% S    12 1812820K  36680K  fg com.android.nfc
 4807 u0_a9    20   0   0% S    12 1803464K  34564K  fg com.samsung.android.providers.context
 4821 system   20   0   0% S    13 1809108K  38860K  fg com.samsung.tmowfc.wfccontroller
 4834 u0_a0    20   0   0% S     9 1796248K  25400K  fg system
 4871 u0_a95   20   0   0% S    51 2527692K  89000K  bg com.google.android.googlequicksearchbox:search
 4908 u0_a87   20   0   0% S    46 3078984K 107348K  bg com.sec.android.app.launcher
 4949 u0_a172  20   0   0% S     9 1797548K  29136K  fg org.simalliance.openmobileapi.service:remote
 5076 u0_a121  16  -4   0% S    67 1992264K  57104K  bg flipboard.boxer.app
 5091 u0_a23   20   0   0% S    64 2130800K 113028K  fg com.google.android.gms
 5149 root      0 -20   0% S     1      0K      0K  fg kbase_event
 5297 u0_a7    20   0   0% S    15 2350064K  39056K  bg android.process.acore
 5442 u0_a40   20   0   0% S    16 1814088K  39220K  bg android.process.media
 5794 system   20   0   0% S    31 2781656K  57864K  bg com.sec.android.inputmethod
 6679 root     20   0   0% D     1      0K      0K  fg dci_thread
 6889 u0_a7    20   0   0% S    15 2377300K  29300K  bg com.samsung.android.contacts
 6961 root      0 -20   0% S     1      0K      0K  fg kworker/0:2H
 6990 u0_a155  20   0   0% S    45 2468160K  43800K  fg com.samsung.android.oneconnect:Core
 7092 u0_a155  20   0   0% S    10 2408860K  28504K  fg com.samsung.android.oneconnect:Receiver
 7135 system   20   0   0% S     9 1800456K  26364K  fg com.samsung.ucs.agent.boot
 7549 u0_a37   20   0   0% S    10 1797764K  26952K  bg com.android.managedprovisioning
 8170 root     20   0   0% S     1      0K      0K  fg kworker/0:0
 8433 root      0 -20   0% S     1      0K      0K  fg kworker/4:0H
 9289 u0_a188  20   0   0% S    20 1786144K  46512K  bg tv.peel.app
 9306 root      0 -20   0% S     1      0K      0K  fg kworker/6:0H
 9327 root      0 -20   0% S     1      0K      0K  fg kworker/1:2H
 9328 root      0 -20   0% S     1      0K      0K  fg kworker/7:0H
 9695 bcmgr    20   0   0% S    13 1801636K  29520K  fg com.samsung.android.beaconmanager
 9746 root     20   0   0% S     1      0K      0K  fg kworker/3:2
10502 root     20   0   0% S     1      0K      0K  fg kworker/1:1
11073 root      0 -20   0% S     1      0K      0K  fg kworker/4:1H
11121 root      0 -20   0% S     1      0K      0K  fg kworker/5:0H
11122 root      0 -20   0% S     1      0K      0K  fg kworker/u17:0
11239 u0_i29   20   0   0% S    18 1286412K  61336K  bg com.android.chrome:sandboxed_process13
11297 root      0 -20   0% S     1      0K      0K  fg kworker/u17:1
11724 u0_a55   20   0   0% S    16 1813152K  39104K  bg com.sec.spp.push
13468 u0_a55   20   0   0% S    11 1804752K  34820K  bg com.sec.spp.push:RemoteDlcProcess
13538 u0_a35   20   0   0% S    10 1797796K  28768K  bg com.samsung.klmsagent
14844 root      0 -20   0% S     1      0K      0K  fg kbase_event
15453 u0_a51   20   0   0% S    32 2477496K  56888K  bg com.samsung.oh
15942 root     20   0   0% S     1      0K      0K  fg kworker/u16:0
15943 root     20   0   0% S     1      0K      0K  fg kworker/u16:6
16108 root     20   0   0% S     1      0K      0K  fg kworker/2:0
16543 root     20   0   0% S     1      0K      0K  fg kworker/u16:3
16771 root      0 -20   0% S     1      0K      0K  fg kworker/0:0H
16789 root      0 -20   0% S     1      0K      0K  fg kworker/3:0H
17900 root     20   0   0% S     1      0K      0K  fg kworker/0:2
17939 u0_a48   20   0   0% S    59 1332968K  43060K  bg com.android.vending
18490 root     20   0   0% S     1      0K      0K  fg kworker/1:2
18627 root      0 -20   0% S     1      0K      0K  fg kworker/1:0H
19077 root      0 -20   0% S     1      0K      0K  fg kworker/2:2H
19654 root      0 -20   0% S     1      0K      0K  fg kworker/2:0H
19900 root      0 -20   0% S     1      0K      0K  fg kworker/7:1H
20195 system   20   0   0% S    10 2327608K  29368K  bg com.samsung.android.SettingsReceiver
21019 root     20   0   0% S     1      0K      0K  fg kworker/u16:4
21459 root      0 -20   0% S     1      0K      0K  fg kworker/0:3H
21516 root      0 -20   0% S     1      0K      0K  fg kworker/3:2H
21528 root     20   0   0% S     1      0K      0K  fg kworker/5:2
21615 u0_a158  20   0   0% S    10 1798288K  28244K  bg com.android.printspooler
22288 u0_a140  16  -4   0% S    60 1446592K 143068K  fg com.android.chrome
22325 root     20   0   0% S     1      0K      0K  fg kworker/0:3
22357 u0_a120  20   0   0% S    31 1838320K  44816K  bg com.facebook.appmanager
    1 root     20   0   0% S     1  22340K   1144K  fg /init
22822 root     20   0   0% S     1      0K      0K  fg kworker/u16:5
23083 root     20   0   0% S     1      0K      0K  fg kworker/0:1
23335 root      0 -20   0% S     1      0K      0K  fg kworker/1:1H
23463 root     20   0   0% S     1      0K      0K  fg kworker/6:0
23689 u0_a153  20   0   0% S    50 2576768K 109784K  bg com.google.android.apps.maps
23706 root      0 -20   0% S     1      0K      0K  fg kworker/4:2H
23709 root     20   0   0% S     1      0K      0K  fg kworker/u16:7
23710 root     20   0   0% S     1      0K      0K  fg kworker/u16:8
23743 root      0 -20   0% S     1      0K      0K  fg kworker/7:2H
23745 root      0 -20   0% S     1      0K      0K  fg kbase_event
23812 root      0 -20   0% S     1      0K      0K  fg kworker/6:2H
23843 system   20   0   0% S    29 3113844K  64272K  bg com.android.settings
23877 root      0 -20   0% S     1      0K      0K  fg kbase_event
23908 root      0 -20   0% S     1      0K      0K  fg kworker/2:1H
24406 root      0 -20   0% S     1      0K      0K  fg kworker/5:1H
24433 root     20   0   0% S     1      0K      0K  fg kworker/7:0
24515 root     20   0   0% S     1      0K      0K  fg kworker/6:1
24518 root     20   0   0% S     1      0K      0K  fg kworker/4:2
25000 root      0 -20   0% S     1      0K      0K  fg kworker/2:3H
26909 root     20   0   0% S     1      0K      0K  fg kworker/5:0
27079 root      0 -20   0% S     1      0K      0K  fg kworker/6:1H
27172 u0_a108  20   0   0% S    12 1799288K  29168K  bg com.sec.android.app.chromecustomizations
27207 root      0 -20   0% S     1      0K      0K  fg kbase_event
27234 u0_a140  20   0   0% S    29 1358080K 101568K  fg com.android.chrome:privileged_process0
27255 root      0 -20   0% S     1      0K      0K  fg kbase_event
27966 u0_a23   16  -4   0% S    61 2437364K 111908K  bg com.google.android.gms.ui
28059 root      0 -20   0% S     1      0K      0K  fg kbase_event
29501 system   20   0   0% S    19 1815780K  34168K  fg com.samsung.android.MtpApplication
30200 u0_a20   16  -4   0% S   131 6911932K 101964K  bg com.tmobile.pr.mytmobile
30311 root     20   0   0% S     1      0K      0K  fg kworker/4:0
30409 root      0 -20   0% S     1      0K      0K  fg kbase_event
30689 system   20   0   0% S    12 1810140K  33488K  bg com.samsung.android.sm.provider
30762 root     20   0   0% S     1      0K      0K  fg kworker/7:1
30858 u0_a82   20   0   0% S    97 2553648K  70312K  bg com.samsung.android.spay
31069 u0_a56   20   0   0% S    20 1772228K  35460K  bg com.samsung.voiceserviceplatform
31114 system   20   0   0% S    13 1819968K  36620K  bg com.samsung.SMT
31140 u0_a54   20   0   0% S    19 2383004K  46400K  bg com.sec.android.app.music:main
31197 u0_a64   20   0   0% S    29 2453512K  56928K  bg com.sec.android.app.shealth:remote
31211 u0_a54   20   0   0% S    17 2380924K  45932K  bg com.sec.android.app.music
31268 root      0 -20   0% S     1      0K      0K  fg kworker/3:1H
31269 u0_a21   20   0   0% S    10 1797888K  27548K  bg com.sec.android.widgetapp.samsungapps
31304 system   20   0   0% S    10 2324052K  28088K  bg com.wssnps
31320 u0_a215  16  -4   0% S    55 6260376K 100892K  bg barcode.reader.qrcode.scanner
31437 u0_a22   20   0   0% S    11 1803692K  33084K  bg com.samsung.android.app.watchmanager:contentprovider
31450 root      0 -20   0% S     1      0K      0K  fg kbase_event
31540 u0_a318  20   0   0% S    23 1271596K  38764K  bg org.chromium.webapk.adf5ed9a667b2e7a2
31562 root      0 -20   0% S     1      0K      0K  fg kbase_event
31599 u0_i27   20   0   0% S    20 1296352K  55704K  fg com.android.chrome:sandboxed_process11
31953 u0_a94   20   0   0% S    34 1924072K  58296K  bg com.whitepages.nameid.tmobile
22580 root      0 -20   0% S     1      0K      0K  fg kbase_event
    2 root     20   0   0% S     1      0K      0K  fg kthreadd
    3 root     20   0   0% S     1      0K      0K  fg ksoftirqd/0
    7 root     RT   0   0% S     1      0K      0K  fg migration/0
    8 root     20   0   0% S     1      0K      0K  fg rcu_preempt
    9 root     20   0   0% S     1      0K      0K  fg rcu_bh
   10 root     20   0   0% S     1      0K      0K  fg rcu_sched
