User 20%, System 18%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 13 + Idle 44 + IOW 0 + IRQ 0 + SIRQ 0 = 72

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 3124 system   20   0   0% S     1  12236K   1392K  fg /system/bin/edmaudit
 3125 system   20   0   0% S     1   5024K    676K  fg /system/bin/ss_kbservice_daemon
 3126 drm      20   0   0% S     3  28448K   1636K  fg /system/bin/drmserver
 3129 jack      1 -19   0% S     2   8052K    796K  fg /system/bin/apaservice
 3130 jack      1 -19   0% S     2  13620K   1104K  fg /system/bin/jackservice
 3132 system   20   0   0% S     3  16588K   2176K  fg /system/bin/sensorhubservice
 3134 system   20   0   0% S     2  30252K   2024K  fg /system/bin/bintvoutservice
 3135 system   20   0   0% S     1   5104K    228K  fg /system/bin/argosd
 3136 radio    20   0   0% S     1   7080K    248K  fg /sbin/cbd
 3137 system   20   0   0% S     6  16944K    848K  fg /system/bin/diagexe
 3138 system   20   0   0% S     7  54516K   2244K  fg /system/bin/imsd
 3139 gps      19  -1   0% S     1  15224K   2160K  fg /system/bin/lhd
 3140 gps      19  -1   0% S     5  41576K   5828K  fg /system/bin/gpsd
 3141 root     20   0   0% S     5 2249788K  35896K  fg zygote64
 3142 root     20   0   0% S     5 1668740K  12032K  fg zygote
 3144 system   20   0   0% S     2  14912K   1760K  fg /system/bin/sdp_cryptod
 3145 audioser 20   0   0% S    12  51968K   2436K  fg /system/bin/audioserver
 3146 camerase 20   0   0% S     3 119776K   2348K  fg /system/bin/cameraserver
 3147 system   20   0   0% S     6  13140K    848K  fg /system/bin/ddexe
 3154 system   20   0   0% S     2  14592K   1724K  fg /system/bin/connfwexe
 3155 radio    20   0   0% S    11  43244K   4232K  fg /system/bin/rild
 3156 system   20   0   0% S     4  16652K   1828K  fg /system/bin/smdexe
 3157 root     20   0   0% S     1  20468K   2448K  fg /system/bin/installd
 3158 keystore 20   0   0% S     1  13828K   2648K  fg /system/bin/keystore
 3159 mediacod 20   0   0% S     3  22840K   1548K  fg media.codec
 3160 media    20   0   0% S     2  56180K   2108K  fg /system/bin/mediadrmserver
 3161 mediaex  20   0   0% S     3  76088K   2248K  fg media.extractor
 3162 media    20   0   0% S     7 138256K   2736K  fg /system/bin/mediaserver
 3163 root     20   0   0% S    16  34844K   2820K  fg /system/bin/netd
 3168 system   20   0   0% S     2  20248K   1844K  fg /system/bin/fingerprintd
 3171 system   20   0   0% S     1  12560K   1796K  fg /system/bin/gatekeeperd
 3172 radio    20   0   0% S     2  14260K   1660K  fg /system/bin/at_distributor
 3192 root      0 -20   0% S     1      0K      0K  fg kbase_event
 3224 jack      1 -19   0% S     2   7532K    812K  fg androidshmservice
 3263 shell    20   0   0% S     5  18872K    660K  fg /sbin/adbd
 3353 root      0 -20   0% S     1      0K      0K  fg BbdTick
 3354 root      0 -20   0% S     1      0K      0K  fg BbdTty
 3652 root     RT   0   0% S     1      0K      0K  fg irq/488-14c2000
 3670 system   20   0   0% S   200 3029112K 176448K  fg system_server
 3711 root     20   0   0% S     1      0K      0K  fg pkgld
 3712 root     20   0   0% S     1      0K      0K  fg pkgld
 3713 root     20   0   0% S     1      0K      0K  fg pkgld
 3714 root     20   0   0% S     1      0K      0K  fg pkgld
 3715 root     20   0   0% S     1      0K      0K  fg pkgld
 3816 system   20   0   0% S     2  15772K   1872K  fg /system/bin/tlc_server
 3817 system   20   0   0% S     2  15768K   1724K  fg /system/bin/tlc_server
 3818 system   20   0   0% S     2  15772K   1728K  fg /system/bin/tlc_server
 3872 system   20   0   0% S     2  13560K   1300K  fg /system/bin/otp_server
 4010 bluetoot 20   0   0% S    46 1288612K  16220K  fg com.android.bluetooth
 4015 root      0 -20   0% S     1      0K      0K  fg dhd_eventd
 4018 media_rw 20   0   0% S     1   8736K   1060K  fg /system/bin/sdcard
 4019 wifi     20   0   0% S     1  15068K   3212K  fg /system/bin/wpa_supplicant
 4022 u0_a84   20   0   0% S    52 3363900K 105408K  fg com.android.systemui
 4033 root     20   0   0% S     1      0K      0K  fg pkgld
 4035 root     20   0   0% S     1      0K      0K  fg pkgld
 4036 root     20   0   0% S     1      0K      0K  fg pkgld
 4258 system   20   0   0% S    12 1805432K  27488K  fg com.sec.epdg
 4382 root      0 -20   0% S     1      0K      0K  fg kbase_event
 4402 system   20   0   0% S    13 1828540K  28712K  fg com.sec.vsimservice
 4416 system   20   0   0% S     9 1800224K  25988K  fg com.sec.sve
 4428 system   20   0   0% S    27 1876996K  37608K  fg com.sec.imsservice
 4441 radio    20   0   0% S    32 1887588K  48108K  fg com.android.phone
 4487 u0_a23   20   0   0% S    52 1973548K 126840K  fg com.google.android.gms.persistent
 4539 root     RT   0   0% S     1      0K      0K  fg irq/123-1146000
 4646 u0_a24   20   0   0% S     9 1796568K  26704K  fg com.google.android.ext.services
 4651 system   20   0   0% S     1   7904K   1156K  fg /system/bin/iod
 4666 root     20   0   0% S     5 2249788K  35600K  fg zygote64
 4668 root     20   0   0% S     5 1668228K  13396K  fg zygote
 4763 u0_a95   20   0   0% S    16 2441336K  32440K  fg com.google.android.googlequicksearchbox:interactor
